,id,neighborhood_overview,notes,transit,access,host_since,host_about,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,availability,zipcode_median_price,relative_zipcode_price,amenities_,amenities_Smoke_Detector,amenities_Fire_Extinguisher,amenities_TV,amenities_Shampoo,amenities_Cat(s),amenities_Pets_live_on_this_property,amenities_Free_Parking_on_Street,amenities_Gym,amenities_Wireless_Internet,amenities_Safety_Card,amenities_Indoor_Fireplace,amenities_Cable_TV,amenities_Hangers,amenities_Wheelchair_Accessible,amenities_Laptop_Friendly_Workspace,amenities_Iron,amenities_Elevator_in_Building,amenities_Dryer,amenities_First_Aid_Kit,amenities_Other_pet(s),amenities_Free_Parking_on_Premises,amenities_Dog(s),amenities_Carbon_Monoxide_Detector,amenities_Essentials,amenities_Kitchen,amenities_Breakfast,amenities_Hot_Tub,amenities_Pool,amenities_Washer_/_Dryer,amenities_Family/Kid_Friendly,amenities_Smoking_Allowed,amenities_Pets_Allowed,amenities_24-Hour_Check-in,amenities_Buzzer/Wireless_Intercom,amenities_translation_missing:_en.hosting_amenity_49,amenities_Lock_on_Bedroom_Door,amenities_Washer,amenities_Hair_Dryer,amenities_Doorman,amenities_Heating,amenities_Internet,amenities_Air_Conditioning,amenities_translation_missing:_en.hosting_amenity_50,amenities_Paid_Parking_Off_Premises,amenities_Suitable_for_Events,house_rules_LONG,house_rules_MEDIUM,house_rules_SHORT,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_response_rate_HIGH,host_response_rate_LOW,host_response_rate_MEDIUM,host_acceptance_rate_HIGH,host_acceptance_rate_LOW,host_acceptance_rate_MEDIUM,neighbourhood_cleansed_Allston,neighbourhood_cleansed_Back Bay,neighbourhood_cleansed_Bay Village,neighbourhood_cleansed_Beacon Hill,neighbourhood_cleansed_Brighton,neighbourhood_cleansed_Charlestown,neighbourhood_cleansed_Chinatown,neighbourhood_cleansed_Dorchester,neighbourhood_cleansed_Downtown,neighbourhood_cleansed_East Boston,neighbourhood_cleansed_Fenway,neighbourhood_cleansed_Hyde Park,neighbourhood_cleansed_Jamaica Plain,neighbourhood_cleansed_Leather District,neighbourhood_cleansed_Longwood Medical Area,neighbourhood_cleansed_Mattapan,neighbourhood_cleansed_Mission Hill,neighbourhood_cleansed_North End,neighbourhood_cleansed_Roslindale,neighbourhood_cleansed_Roxbury,neighbourhood_cleansed_South Boston,neighbourhood_cleansed_South Boston Waterfront,neighbourhood_cleansed_South End,neighbourhood_cleansed_West End,neighbourhood_cleansed_West Roxbury,property_type_Apartment,property_type_Bed & Breakfast,property_type_Boat,property_type_Camper/RV,property_type_Condominium,property_type_Dorm,property_type_Entire Floor,property_type_Guesthouse,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,property_type_Villa,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,calendar_updated_more than a month ago,calendar_updated_today,calendar_updated_yesterday,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_super_strict_30
0,12147973,True,False,True,True,582,True,False,1,True,False,True,4,1.5,2.0,3.0,250.0,0.0,35.0,1,0.0,2,1125,0,2224.0,91.91666666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.646548608601373,9.414042707202317,9.16823444283647,False,False,False,1,0.0,0.0,75.0,3.3333333333333335,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1,3075044,True,True,True,True,1624,True,False,1,True,True,True,2,1.0,1.0,1.0,65.0,95.0,10.0,0,0.0,2,15,36,96.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,True,False,False,1,1.3,0.9835616438356164,75.0,0.8666666666666667,False,True,True,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
2,6976,True,True,True,True,2747,True,True,1,True,True,True,2,1.0,1.0,1.0,65.0,0.0,0.0,1,20.0,3,45,41,104.0,98.0,10.0,9.0,10.0,10.0,9.0,10.0,False,True,False,1,0.47,0.873972602739726,75.0,0.8666666666666667,False,True,False,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,True,False,False,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
3,1436513,True,True,True,True,1306,True,False,1,True,False,False,4,1.0,1.0,2.0,75.0,100.0,50.0,2,25.0,1,1125,1,81.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,False,False,False,1,1.0,0.2684931506849315,122.0,0.6147540983606558,False,True,True,True,True,False,False,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
4,7651065,True,True,True,True,921,True,True,1,True,True,True,2,1.5,1.0,2.0,79.0,0.0,15.0,1,0.0,2,31,29,77.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,False,False,False,1,2.25,0.915068493150685,75.0,1.0533333333333332,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
5,12386020,True,False,True,True,239,False,True,2,True,True,True,2,1.0,1.0,1.0,75.0,0.0,30.0,1,0.0,2,1125,8,81.0,100.0,10.0,10.0,10.0,10.0,9.0,10.0,False,False,False,1,1.7,0.1589041095890411,75.0,1.0,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
6,5706985,True,True,True,True,1272,True,False,5,True,True,False,3,1.0,1.0,2.0,100.0,0.0,0.0,1,25.0,1,1125,57,77.0,90.0,10.0,10.0,10.0,10.0,9.0,9.0,False,False,False,3,4.0,0.9424657534246575,75.0,1.3333333333333333,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
7,2843445,True,True,True,True,1565,True,True,2,True,True,True,2,2.0,1.0,1.0,75.0,0.0,10.0,1,15.0,1,1125,67,74.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,False,True,True,2,2.38,1.0,75.0,1.0,False,True,True,True,True,False,True,False,False,True,True,True,False,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
8,753446,True,False,False,False,1485,True,True,1,True,True,True,2,1.0,1.0,2.0,58.0,0.0,0.0,2,0.0,2,1125,65,79.0,96.0,10.0,10.0,10.0,10.0,9.0,10.0,False,False,False,1,5.36,0.9506849315068493,75.0,0.7733333333333333,False,True,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
9,849408,True,True,True,False,1430,True,True,2,True,True,True,5,1.0,2.0,2.0,229.0,200.0,50.0,4,25.0,4,10,33,174.0,94.0,10.0,9.0,10.0,10.0,9.0,9.0,False,False,False,2,1.01,0.29315068493150687,75.0,3.0533333333333332,False,True,True,True,True,False,False,False,False,True,False,False,True,True,False,True,True,False,True,True,False,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True,False,False,False,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
10,12023024,False,False,False,False,238,False,False,1,True,False,True,2,1.0,1.0,1.0,60.0,0.0,30.0,1,10.0,1,1125,1,153.0,80.0,10.0,8.0,8.0,10.0,10.0,10.0,False,False,False,1,0.36,0.9397260273972603,75.0,0.8,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,True,True,False,False,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
11,1668313,True,True,True,True,1160,True,True,2,True,True,True,1,1.0,1.0,1.0,57.0,0.0,40.0,1,0.0,1,1125,17,91.0,94.0,9.0,10.0,10.0,10.0,9.0,9.0,False,False,False,2,0.48,0.9342465753424658,75.0,0.76,False,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,True,True,True,False,False,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
12,2684840,False,False,False,False,962,True,False,2,True,False,True,4,1.0,2.0,2.0,93.0,0.0,40.0,1,0.0,1,1125,1,117.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,True,False,False,2,0.64,0.0,75.0,1.24,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
13,13547301,False,False,False,False,287,True,False,1,True,True,True,5,1.0,2.0,3.0,150.0,0.0,50.0,5,30.0,2,21,12,75.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,False,False,False,1,4.93,0.35342465753424657,75.0,2.0,False,True,True,True,True,False,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,False,False,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
14,5434353,True,False,True,False,1117,True,False,1,True,True,True,2,1.5,2.0,2.0,145.0,500.0,150.0,2,35.0,3,1125,7,103.0,91.0,9.0,9.0,10.0,9.0,9.0,9.0,False,False,False,1,0.56,0.873972602739726,75.0,1.9333333333333333,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
15,225979,True,True,True,True,1887,True,False,2,True,False,True,1,0.0,1.0,1.0,60.0,0.0,0.0,1,0.0,1,365,70,107.0,96.0,9.0,10.0,10.0,10.0,9.0,10.0,True,False,False,2,1.16,0.9287671232876712,75.0,0.8,False,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
16,3420384,True,True,True,True,2080,True,False,1,True,False,True,4,1.0,1.0,3.0,165.0,0.0,50.0,3,15.0,3,1125,1,83.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,False,False,False,1,1.0,0.9561643835616438,75.0,2.2,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
17,13512930,False,False,False,False,962,True,False,2,True,False,True,2,1.0,1.0,1.0,75.0,0.0,20.0,1,15.0,1,1125,1,150.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,True,False,False,2,0.37,0.0,75.0,1.0,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
